Date,Births
1/1/16,316707
2/1/16,306015
3/1/16,328526
4/1/16,313485
5/1/16,327631
6/1/16,332324
7/1/16,342728
8/1/16,357830
9/1/16,345552
10/1/16,330958
11/1/16,319389
12/1/16,324730
1/1/17,313786
2/1/17,289054
3/1/17,319625
4/1/17,300116
5/1/17,322456
6/1/17,323920
7/1/17,334924
8/1/17,352151
9/1/17,337175
10/1/17,329869
11/1/17,316511
12/1/17,315913
1/1/18,314808
2/1/18,284250
3/1/18,316044
4/1/18,298394
5/1/18,320622
6/1/18,314816
7/1/18,329009
8/1/18,344750
9/1/18,322772
10/1/18,326778
11/1/18,308703
12/1/18,310766
1/1/19,310872
2/1/19,279963
3/1/19,304237
4/1/19,298947
5/1/19,316386
6/1/19,304092
7/1/19,333646
8/1/19,341685
9/1/19,325781
10/1/19,325043
11/1/19,298086
12/1/19,308802
1/1/20,304722
2/1/20,282654
3/1/20,301625
4/1/20,290478
5/1/20,301481
6/1/20,302164
7/1/20,321637
8/1/20,319621
9/1/20,311705
10/1/20,305085
11/1/20,282597
12/1/20,289878
1/1/21,277172
2/1/21,266355
3/1/21,302692
4/1/21,293208
5/1/21,300912
6/1/21,313597
7/1/21,326117
8/1/21,330271
9/1/21,325738
10/1/21,315414
11/1/21,301730
12/1/21,311086
