,State,State_abbrev,Year,Gender_baby,Education_level,Education_code,Births,Avg_age_mother,Avg_birth_weight(g)
0,Alabama,AL,2016,F,8th grade or less,1,1052,27.8,3116.9
1,Alabama,AL,2016,F,9th through 12th grade with no diploma,2,3436,24.1,3040
2,Alabama,AL,2016,F,High school graduate or GED completed,3,8777,25.4,3080
3,Alabama,AL,2016,F,"Some college credit, but not a degree",4,6453,26.7,3121.9
4,Alabama,AL,2016,F,"Associate degree (AA, AS)",5,2227,28.9,3174.3
5,Alabama,AL,2016,F,"Bachelor's degree (BA, AB, BS)",6,4453,30.3,3239
6,Alabama,AL,2016,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1910,32,3263.5
7,Alabama,AL,2016,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,487,33.1,3196.7
8,Alabama,AL,2016,F,Unknown or Not Stated,9,65,27.7,3083.9
9,Alabama,AL,2016,M,8th grade or less,1,1188,27.6,3232.9
10,Alabama,AL,2016,M,9th through 12th grade with no diploma,2,3657,23.9,3121.2
11,Alabama,AL,2016,M,High school graduate or GED completed,3,9284,25.2,3197.9
12,Alabama,AL,2016,M,"Some college credit, but not a degree",4,6516,26.7,3252.1
13,Alabama,AL,2016,M,"Associate degree (AA, AS)",5,2460,29,3301.4
14,Alabama,AL,2016,M,"Bachelor's degree (BA, AB, BS)",6,4645,30.3,3376.1
15,Alabama,AL,2016,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1974,32.2,3358.2
16,Alabama,AL,2016,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,511,32.8,3368.4
17,Alabama,AL,2016,M,Unknown or Not Stated,9,56,27.2,3107.7
18,Alabama,AL,2017,F,8th grade or less,1,1012,27.6,3139.6
19,Alabama,AL,2017,F,9th through 12th grade with no diploma,2,3283,24.4,3040.6
20,Alabama,AL,2017,F,High school graduate or GED completed,3,8962,25.4,3068.8
21,Alabama,AL,2017,F,"Some college credit, but not a degree",4,6384,26.9,3112.3
22,Alabama,AL,2017,F,"Associate degree (AA, AS)",5,2411,28.9,3197.2
23,Alabama,AL,2017,F,"Bachelor's degree (BA, AB, BS)",6,4335,30.5,3259.2
24,Alabama,AL,2017,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1874,32.1,3251.7
25,Alabama,AL,2017,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,551,33.1,3230.8
26,Alabama,AL,2017,F,Unknown or Not Stated,9,62,28,3014.4
27,Alabama,AL,2017,M,8th grade or less,1,978,27.6,3229.8
28,Alabama,AL,2017,M,9th through 12th grade with no diploma,2,3345,23.9,3116.2
29,Alabama,AL,2017,M,High school graduate or GED completed,3,9403,25.4,3190
30,Alabama,AL,2017,M,"Some college credit, but not a degree",4,6651,26.8,3240.9
31,Alabama,AL,2017,M,"Associate degree (AA, AS)",5,2446,28.9,3302.9
32,Alabama,AL,2017,M,"Bachelor's degree (BA, AB, BS)",6,4624,30.4,3373.3
33,Alabama,AL,2017,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1947,31.8,3348.8
34,Alabama,AL,2017,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,588,33,3313.8
35,Alabama,AL,2017,M,Unknown or Not Stated,9,85,26.7,3090.7
36,Alabama,AL,2018,F,8th grade or less,1,909,27.8,3167.6
37,Alabama,AL,2018,F,9th through 12th grade with no diploma,2,3031,24.4,3012
38,Alabama,AL,2018,F,High school graduate or GED completed,3,8901,25.5,3064.7
39,Alabama,AL,2018,F,"Some college credit, but not a degree",4,6024,27,3130.8
40,Alabama,AL,2018,F,"Associate degree (AA, AS)",5,2466,28.9,3176.6
41,Alabama,AL,2018,F,"Bachelor's degree (BA, AB, BS)",6,4212,30.4,3238.2
42,Alabama,AL,2018,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1869,32,3231.2
43,Alabama,AL,2018,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,531,33.4,3242.2
44,Alabama,AL,2018,F,Unknown or Not Stated,9,50,26.9,3123.2
45,Alabama,AL,2018,M,8th grade or less,1,947,28,3204.2
46,Alabama,AL,2018,M,9th through 12th grade with no diploma,2,3138,24.2,3110.2
47,Alabama,AL,2018,M,High school graduate or GED completed,3,9405,25.5,3176.7
48,Alabama,AL,2018,M,"Some college credit, but not a degree",4,6469,27,3237.6
49,Alabama,AL,2018,M,"Associate degree (AA, AS)",5,2568,29,3290.3
50,Alabama,AL,2018,M,"Bachelor's degree (BA, AB, BS)",6,4621,30.5,3373
51,Alabama,AL,2018,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1988,31.9,3348.8
52,Alabama,AL,2018,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,570,33.1,3321.5
53,Alabama,AL,2018,M,Unknown or Not Stated,9,62,27.6,3136.7
54,Alabama,AL,2019,F,8th grade or less,1,1138,27.7,3128.1
55,Alabama,AL,2019,F,9th through 12th grade with no diploma,2,2856,24.4,3035.8
56,Alabama,AL,2019,F,High school graduate or GED completed,3,9240,25.6,3055.7
57,Alabama,AL,2019,F,"Some college credit, but not a degree",4,6055,27.1,3111
58,Alabama,AL,2019,F,"Associate degree (AA, AS)",5,2400,29,3179.1
59,Alabama,AL,2019,F,"Bachelor's degree (BA, AB, BS)",6,4293,30.4,3238.7
60,Alabama,AL,2019,F,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,1869,31.9,3235.4
61,Alabama,AL,2019,F,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,523,33.2,3275.3
62,Alabama,AL,2019,F,Unknown or Not Stated,9,46,27.4,3072
63,Alabama,AL,2019,M,8th grade or less,1,1212,28,3246
64,Alabama,AL,2019,M,9th through 12th grade with no diploma,2,2999,24.5,3144.5
65,Alabama,AL,2019,M,High school graduate or GED completed,3,9647,25.5,3179.5
66,Alabama,AL,2019,M,"Some college credit, but not a degree",4,6490,27.1,3212.7
67,Alabama,AL,2019,M,"Associate degree (AA, AS)",5,2617,28.9,3297.6
68,Alabama,AL,2019,M,"Bachelor's degree (BA, AB, BS)",6,4599,30.5,3342.3
69,Alabama,AL,2019,M,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,2046,32.1,3380.2
70,Alabama,AL,2019,M,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,533,33.1,3375.9
71,Alabama,AL,2019,M,Unknown or Not Stated,9,52,28,3160.5
